title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
Guide to Reference Books,"Robert Balay, Vee Friesner Carrington, Murray S. Martin",ALA Editions,1996,"Presents an annotated bibliography of general and subject reference books covering the humanities, social and behavioral sciences, history, science, technology, and medicine.",Language Arts & Disciplines,2056.0,0.0,0.0,0.0,Unknown,en,0.0
The Athenaeum,"James Silk Buckingham, John Sterling, Frederick Denison Maurice, Henry Stebbing, Charles Wentworth Dilke, Thomas Kibble Hervey, William Hepworth Dixon, Norman Maccoll, Vernon Horace Rendall, John Middleton Murry",Unknown,1896,Unknown,,880.0,0.0,0.0,0.0,Unknown,en,0.0
Journal,Asiatic Society of Bombay,Unknown,1974,Unknown,Orient,578.0,0.0,0.0,0.0,Unknown,en,0.0
Image of Woman in the Indo-Anglian Novel,Meena Shirwadkar,Unknown,1979,Unknown,Literary Collections,192.0,0.0,0.0,0.0,Unknown,en,0.0
Bookseller & Stationer and Office Equipment Journal,,Unknown,1918,Unknown,,816.0,0.0,0.0,0.0,Unknown,en,0.0
The Literary World,,Unknown,1912,Unknown,Literature,396.0,0.0,0.0,0.0,Unknown,en,0.0
Five Contemporary Indian Novelists,Pramod Kumar Singh,Unknown,2001,"The Indian English fiction is now recognised with due regards all over the world. The Indo-Anglian novelists are now known as the literary figures of the world. Some Indian novelists, storywriters and academics such as Bharti Mukherjee, Jagdish Bhagwati, Gayatri Chakravarty Spivak, Amartya Sen, Jumpa Lahiri etc. are almsot a craze in U.S.A. and other western countries. The credit of shaping the Indo-Anglian fiction, however, goes to its early novelists such as Mulk Raj Anand, Raja Rao, R.K. Narayan, Kamala Markandaya and Bhabani Bhattacharya. The present book contains scholarly papers on the said early novelists and these valuable critical works on them add immensely to the world of Indo-English fiction and criticism.",Indic fiction (English),198.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Culture and Civilization,Mathurālāla Śarmā,Unknown,1968,Unknown,India,356.0,0.0,0.0,0.0,Unknown,en,0.0
Feminism and Recent Indian Literature,Rajinder Kumar Dhawan,Unknown,2008,"""Feminism is rapidly developing as a significant critical ideology; it constitutes a major segment of the contemporary writing in English. The two-volume anthology has detailed discussions on the writings of Anita Desai, Shashi Deshpande, Bharati Mukherjee, Arundhati Roy, Manju Kapur, Kamala Das, Githa Hariharan, Chitra Banerjee Divakaruni and Bapsi Sidhwa. The central objective of the book is to discuss the theoretical investigations carried out by Indian women writers in their works and to arrive at a deeper understanding of feminist contentions."" ""R. K. Dhawan teaches English at S.B.S. College, University of Delhi. He has lectured extensively at many universities, including those at Sri Lanka, Bangladesh, Singapore, Tunisia, Italy and Australia."" Publisher's note.",Canadian literature,296.0,0.0,0.0,0.0,Unknown,en,0.0
Reference Guide to Short Fiction,Thomas Riggs,Saint James Press,1999,"Reference Guide to Short Fiction provides study and commentary on the most instrumental writers of short fiction through the 20th century. International in scope, this single scholarly volume includes 779 entries on 377 authors and 402 short stories.",Literary Criticism,1258.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Kāvya Literature: Origins and formation of the classical kāvya,A. K. Warder,Unknown,1974,Unknown,Indic poetry,412.0,0.0,0.0,0.0,Unknown,en,0.0
West Indian Literature and Its Political Context,Lowell Fiet,Unknown,1988,Unknown,Politics and literature,244.0,0.0,0.0,0.0,Unknown,en,0.0
Social Scientist,,Unknown,1990,Unknown,India,442.0,0.0,0.0,0.0,Unknown,en,0.0
The Edinburgh Review,,Unknown,1899,Unknown,,580.0,0.0,0.0,0.0,Unknown,en,0.0
Subject Guide to Books,,Unknown,1915,"Contents.--v.1. History, travel & description.",Best books,312.0,0.0,0.0,0.0,Unknown,en,0.0
The British Quarterly Review,,Unknown,1880,Unknown,,604.0,0.0,0.0,0.0,Unknown,en,0.0
"The Self, the Family, and Society in Five Indian Novelists",Vasagiri Venkata Naga Rajendra Prasad,Unknown,1990,Unknown,Literary Criticism,180.0,0.0,0.0,0.0,Unknown,en,0.0
Commonwealth Novel in English,,Unknown,1984,Unknown,Commonwealth fiction (English),588.0,0.0,0.0,0.0,Unknown,en,0.0
Atti,,Unknown,1971,Includes a later edition of the Proceedings of the 1st congress: Comprenant le sommaire des travaux de la première peŕiode et les mémoires in extenso de la seconde période.,Oriental philology,728.0,0.0,0.0,0.0,Unknown,en,0.0
Finding List of English Prose Fiction in the Chicago Public Library,,Unknown,1911,Unknown,Fiction,318.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Book Industry,,Unknown,1985,Unknown,Book industries and trade,352.0,0.0,0.0,0.0,Unknown,en,0.0
Studies in Indian Writing in English,"Mittapalli Rajeshwar, Pier Paolo Piciucco",Atlantic Publishers & Dist,2001,"The Papers Collected In This Anthology Represent A Wide Spectrum Of Critical Interests Of Scholars Specialising In Indian Fiction In English Which Has Of Late Established A Powerful And Pervasive Presence On The World Literary Scene.The Widely Divergent Themes Of The Third Generation Indian Novelists Including Especially Immigrant Experience, Feminist Concerns And Gender Issues, Familial, Social, Psychological And Philosophical Problems Characterising Contemporary Indian Life And The Major Debates Centred Round Indian Fiction In English, Besides The Innovative Techniques, Have All Been Discussed In This Volume From Refreshingly New Perspectives.Among The Contributors To This Volume Are Some Of The Most Respected Scholars: John Thieme (England), Sandra Ponzanesi (Netherlands), Shaul Bassi (Italy), Basavaraj Naikar (India), Uma Parameswaran (Canada), Mary Conde (England), Christopher Rollason (France), Chandra Holm (Switzerland), Joel Kuortti (Finland) And Alessandra Contenti (Italy). Among The Novelists Discussed Are: Salman Rushdie, Shashi Deshpande, Bharati Mukherjee, Vikram Seth, Amitav Ghosh And Arundhati Roy.",Indic literature (English),236.0,0.0,0.0,0.0,Unknown,en,0.0
Literary News,,Unknown,1881,Unknown,American literature,408.0,0.0,0.0,0.0,Unknown,en,0.0
The Bookseller,,Unknown,1909,Official organ of the book trade of the United Kingdom.,Bibliography,1896.0,0.0,0.0,0.0,Unknown,en,0.0
Bookseller and the Stationery Trades' Journal,,Unknown,1909,Unknown,Bibliography,968.0,0.0,0.0,0.0,Unknown,en,0.0
Indiana,George Sand,Unknown,1888,Unknown,,276.0,0.0,0.0,0.0,Unknown,en,0.0
The Book Review,,Unknown,2006,Unknown,Books,622.0,3.0,1.0,0.0,Unknown,en,3.0
Pot-Bouille,Émile Zola,Unknown,1882,Unknown,,556.0,0.0,0.0,0.0,Unknown,en,0.0
The Publishers' Trade List Annual,,Unknown,1881,Unknown,"Catalogs, Publishers'",1830.0,0.0,0.0,0.0,Unknown,en,0.0
Indian National Bibliography,B. S. Kesavan,Unknown,2016-12,Unknown,India,884.0,0.0,0.0,0.0,Unknown,en,0.0
Triveni,,Unknown,2010,Unknown,Humanities,552.0,0.0,0.0,0.0,Unknown,en,0.0
Focus on Asian Studies,,Unknown,1979,Unknown,Asia,536.0,0.0,0.0,0.0,Unknown,en,0.0
News & Reviews from ERC.,,Unknown,1974,Unknown,Education,368.0,0.0,0.0,0.0,Unknown,en,0.0
The Academy,,Unknown,1901,Unknown,,580.0,0.0,0.0,0.0,Unknown,en,0.0
Commonwealth,,Unknown,1982,Unknown,,220.0,0.0,0.0,0.0,Unknown,en,0.0
Contemporary Novelists,Noelle Watson,Saint James Press,1991,"Contains entries for each author with a biography, a list of separately published books, and an essay.",Biography & Autobiography,1096.0,0.0,0.0,0.0,Unknown,en,0.0
Panjab University Research Bulletin,,Unknown,1986,Unknown,Arts,534.0,0.0,0.0,0.0,Unknown,en,0.0
Soviet Literature,,Unknown,1955,Unknown,Russian literature,1244.0,0.0,0.0,0.0,Unknown,en,0.0
Grundlagen Zur Literatur in Englischer Sprache: Indien,,Unknown,1982,Unknown,African literature (English),208.0,0.0,0.0,0.0,Unknown,en,0.0
The Literary Criterion,,Unknown,1992,Unknown,English literature,782.0,0.0,0.0,0.0,Unknown,en,0.0
Commonwealth Literature,John Press,Unknown,1965,Unknown,Commonwealth literature (English),232.0,0.0,0.0,0.0,Unknown,en,0.0
Library Bulletin,"Mechanics' Institute (San Francisco, Calif.)",Unknown,1897,Unknown,,144.0,0.0,0.0,0.0,Unknown,en,0.0
The Cumulative Book Index,,Unknown,1908,A world list of books in the English language.,American literature,830.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Catalog of Thirty-five Hundred Books,"H.W. Wilson Company, Corinne Bacon",Unknown,1917,Unknown,Children's literature,554.0,0.0,0.0,0.0,Unknown,en,0.0
Literature East & West,,Unknown,1969,Unknown,African literature,842.0,0.0,0.0,0.0,Unknown,en,0.0
Twentieth-Century Literary Criticism,Dennis Poupard,Twentieth-Century Literary Cri,1984-03,"Presents literary criticism on the works of twentieth-century writers of all genres, nations, and cultures. Critical essays are selected from leading sources, including published journals, magazines, books, reviews, diaries, interviews, radio and television transcripts, pamphlets, and scholarly papers.",Biography & Autobiography,608.0,0.0,0.0,0.0,Unknown,en,0.0
